
[2026-02-25 07:52:32.460]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:32.461]	[main.py - <module>():91]		BTCUSDT — price=64929.2800, 24h_high=66310.0000, atr=109.804090
[2026-02-25 07:52:32.462]	[logic.py - should_long_dca():181]		[DCA] drop=2.08% level=1 (was 0) -> NEW LEVEL spend=$2.08
[2026-02-25 07:52:32.462]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1691% vs required 0.3000%
[2026-02-25 07:52:32.462]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:52:32.728]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:32.728]	[main.py - <module>():91]		ETHUSDT — price=1886.4800, 24h_high=1944.8600, atr=4.061810
[2026-02-25 07:52:32.729]	[logic.py - should_long_dca():181]		[DCA] drop=3.00% level=1 (was 0) -> NEW LEVEL spend=$3.00
[2026-02-25 07:52:32.729]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2153% vs required 0.3000%
[2026-02-25 07:52:32.729]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:52:33.087]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:33.087]	[main.py - <module>():91]		SOLUSDT — price=81.4900, 24h_high=82.9900, atr=0.214007
[2026-02-25 07:52:33.087]	[logic.py - should_long_dca():181]		[DCA] drop=1.81% level=0 (was 0) -> no new level
[2026-02-25 07:52:33.087]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:52:43.090]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:52:43.340]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:43.340]	[main.py - <module>():91]		BTCUSDT — price=64911.7300, 24h_high=66310.0000, atr=110.106947
[2026-02-25 07:52:43.341]	[logic.py - should_long_dca():181]		[DCA] drop=2.11% level=1 (was 0) -> NEW LEVEL spend=$2.11
[2026-02-25 07:52:43.341]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1696% vs required 0.3000%
[2026-02-25 07:52:43.341]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:52:43.600]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:43.601]	[main.py - <module>():91]		ETHUSDT — price=1885.8400, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:52:43.601]	[logic.py - should_long_dca():181]		[DCA] drop=3.03% level=1 (was 0) -> NEW LEVEL spend=$3.03
[2026-02-25 07:52:43.601]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2186% vs required 0.3000%
[2026-02-25 07:52:43.602]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:52:43.858]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:43.859]	[main.py - <module>():91]		SOLUSDT — price=81.5100, 24h_high=82.9900, atr=0.214721
[2026-02-25 07:52:43.859]	[logic.py - should_long_dca():181]		[DCA] drop=1.78% level=0 (was 0) -> no new level
[2026-02-25 07:52:43.859]	[main.py - <module>():143]		── Sleeping 10s ──
[2026-02-25 07:52:53.864]	[main.py - <module>():70]		── Processing BTCUSDT ──
[2026-02-25 07:52:54.113]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:54.113]	[main.py - <module>():91]		BTCUSDT — price=64910.8900, 24h_high=66310.0000, atr=110.240518
[2026-02-25 07:52:54.114]	[logic.py - should_long_dca():181]		[DCA] drop=2.11% level=1 (was 0) -> NEW LEVEL spend=$2.11
[2026-02-25 07:52:54.114]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.1698% vs required 0.3000%
[2026-02-25 07:52:54.114]	[main.py - <module>():70]		── Processing ETHUSDT ──
[2026-02-25 07:52:54.378]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
[2026-02-25 07:52:54.379]	[main.py - <module>():91]		ETHUSDT — price=1886.1400, 24h_high=1944.8600, atr=4.122524
[2026-02-25 07:52:54.379]	[logic.py - should_long_dca():181]		[DCA] drop=3.02% level=1 (was 0) -> NEW LEVEL spend=$3.02
[2026-02-25 07:52:54.379]	[logic.py - should_long_dca():189]		[ATR] atr_edge=0.2186% vs required 0.3000%
[2026-02-25 07:52:54.380]	[main.py - <module>():70]		── Processing SOLUSDT ──
[2026-02-25 07:52:54.635]	[indicators.py - add_indicators():48]		Added indicators: ema9, ema21, ema50, ema200, rsi, atr, vol_ma, macd, bbands
